origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PH_071,walking,Public Open Space,10,4.609097319341019e-08,18670,Sham Shui Po,PH,18670,1426,15000,22.33679819,114.1559162
PH_072,walking,Public Open Space,10,0,15831,Kwun Tong,PH,15831,1134,13500,22.31927466,114.2165158
PH_073,walking,Public Open Space,10,0,12176,Wong Tai Sin,PH,12176,920,14500,22.34277292,114.1919329
PH_074,walking,Public Open Space,10,0,16794,Wong Tai Sin,PH,16794,1291,15000,22.34055139,114.1875811
PH_075,walking,Public Open Space,10,0,3620,Sham Shui Po,PH,3620,325,15000,22.32924887,114.15555
PH_076,walking,Public Open Space,10,0,4280,Kwun Tong,PH,4280,239,13320,22.31595699,114.2277603
PH_077,walking,Public Open Space,10,0,21799,Kwun Tong,PH,21799,2043,15000,22.30061825,114.2360143
PH_078,walking,Public Open Space,10,0,10026,Kwun Tong,PH,10026,843,15000,22.29788419,114.2382112
C_010,walking,Public Open Space,10,0,6353,Kwun Tong,C,6353,550,20000,22.30256192,114.2392893
C_011,walking,Public Open Space,10,0,3904,Kwun Tong,C,3904,442,20000,22.31401752,114.2400131
C_012,walking,Public Open Space,10,0,4839,Kwun Tong,C,4839,610,20000,22.31059036,114.2344553
C_013,walking,Public Open Space,10,0,3999,Wong Tai Sin,C,3999,395,18000,22.34181367,114.2097494
C_014,walking,Public Open Space,10,0,5698,Wong Tai Sin,C,5698,586,20000,22.34042546,114.2111569
C_015,walking,Public Open Space,10,0,4432,Kwun Tong,C,4432,392,17100,22.29842937,114.2421808
C_016,walking,Public Open Space,10,0,4909,Kwun Tong,C,4909,618,20000,22.30891462,114.2324259
C_017,walking,Public Open Space,10,0,3179,Kwun Tong,C,3179,349,21250,22.32304899,114.2200991
C_018,walking,Public Open Space,10,7.090436194357471e-06,8550,Wong Tai Sin,C,8550,757,19000,22.34210453,114.2002358
C_019,walking,Public Open Space,10,0,4950,Kwun Tong,C,4950,286,18000,22.31750076,114.2279714
C_020,walking,Public Open Space,10,0,8980,Wong Tai Sin,C,8980,801,18490,22.3363155,114.2025524
C_001,walking,Public Open Space,10,2.2873559731353565e-06,11335,Yau Tsim Mong,C,11335,1235,20000,22.31420707,114.1645941
C_002,walking,Public Open Space,10,0,4039,Kwun Tong,C,4039,290,16570,22.31907611,114.2263859
C_003,walking,Public Open Space,10,0,3500,Kwun Tong,C,3500,548,21000,22.33166691,114.2137386
C_004,walking,Public Open Space,10,0,4929,Kowloon City,C,4929,581,20000,22.31483144,114.1787874
C_005,walking,Public Open Space,10,0,3557,Wong Tai Sin,C,3557,203,17500,22.3400544,114.1847606
C_006,walking,Public Open Space,10,0,6615,Wong Tai Sin,C,6615,574,19900,22.34147382,114.2074404
C_007,walking,Public Open Space,10,0,13786,Kwun Tong,C,13786,1284,18500,22.32043626,114.2292572
C_008,walking,Public Open Space,10,0,7247,Sham Shui Po,C,7247,1177,20000,22.32783546,114.1495678
C_009,walking,Public Open Space,10,0,4971,Kwun Tong,C,4971,346,20000,22.30548132,114.2380783
C_021,walking,Public Open Space,10,0,14586,Kwun Tong,C,14586,1542,21360,22.32994641,114.206744
